id,用户,昵称,状态,审核人,原因,创建时间,更新时间
"302008","    Aff：73402054 , 彩色书包 Vip：普通 余额：0  |  收益：0  认证：否     ","Lx","待审核","","","2026-04-01 20:06:29","2026-04-01 20:06:29"
"302007","    Aff：395755391 , 苹果水杯 Vip：普通 余额：0  |  收益：0  认证：否     ","孙笑川51分川","待审核","","","2026-04-01 20:06:01","2026-04-01 20:06:01"
"302006","    Aff：505501305 , 丰富朋友 Vip：普通 余额：0  |  收益：0  认证：否     ","石乐志","待审核","","","2026-04-01 19:28:45","2026-04-01 19:28:45"
"302005","    Aff：505491458 , 发嗲水蜜桃 Vip：普通 余额：0  |  收益：0  认证：否     ","专属","待审核","","","2026-04-01 19:21:49","2026-04-01 19:21:49"
"302004","    Aff：505125689 , 年轻可乐 Vip：普通 余额：0  |  收益：0  认证：否     ","少羽","待审核","","","2026-04-01 19:21:20","2026-04-01 19:21:20"
"302003","    Aff：495983181 , 美丽汉堡 Vip：普通 余额：0  |  收益：0  认证：否     ","临潼渭南","待审核","","","2026-04-01 19:14:17","2026-04-01 19:14:17"
"302002","    Aff：505495959 , 霸气方黑猫 Vip：普通 余额：0  |  收益：0  认证：否     ","纯情高中生","待审核","","","2026-04-01 19:14:08","2026-04-01 19:14:08"
"302001","    Aff：505495526 , 拼搏白猫 Vip：普通 余额：0  |  收益：0  认证：否     ","圆圆","待审核","","","2026-04-01 19:11:00","2026-04-01 19:11:00"
"302000","    Aff：505491801 , 迅速蜜粉 Vip：普通 余额：0  |  收益：0  认证：否     ","鸡巴","待审核","","","2026-04-01 19:09:28","2026-04-01 19:09:28"
"301999","    Aff：363359653 , 幽默丝袜 Vip：普通 余额：0  |  收益：0  认证：否     ","黑色玛利亚","待审核","","","2026-04-01 19:08:11","2026-04-01 19:08:11"
"301998","    Aff：505489719 , 尊敬曲奇 Vip：普通 余额：0  |  收益：0  认证：否     ","","待审核","","","2026-04-01 19:06:05","2026-04-01 19:06:05"
"301997","    Aff：88826176 , 粗犷踢中心 Vip：普通 余额：0  |  收益：0  认证：否     ","a42000","待审核","","","2026-04-01 18:59:54","2026-04-01 18:59:54"
"301996","    Aff：505490467 , 超级就夕阳 Vip：普通 余额：0  |  收益：0  认证：否     ","喜欢黑森林","待审核","","","2026-04-01 18:55:24","2026-04-01 18:55:24"
"301995","    Aff：504969729 , 还单身大米 Vip：普通 余额：0  |  收益：0  认证：否     ","学儿食媳汁","待审核","","","2026-04-01 18:54:35","2026-04-01 18:54:35"
"301994","    Aff：505489377 , 典雅手链 Vip：普通 余额：0  |  收益：0  认证：否     ","","待审核","","","2026-04-01 18:52:26","2026-04-01 18:52:26"
"301993","    Aff：354539660 , 直率打小虾米 Vip：普通 余额：0  |  收益：0  认证：否     ","","待审核","","","2026-04-01 18:37:49","2026-04-01 18:37:49"
"301992","    Aff：504718745 , 奋斗和项链 Vip：普通 余额：0  |  收益：0  认证：否     ","喜欢老婆的骚奶","待审核","","","2026-04-01 18:29:34","2026-04-01 18:29:34"
"301991","    Aff：450850761 , 完美乌龟 Vip：普通 余额：0  |  收益：0  认证：否     ","小屁桃","待审核","","","2026-04-01 18:29:08","2026-04-01 18:29:08"
"301990","    Aff：505479572 , 魔幻丝袜 Vip：普通 余额：0  |  收益：0  认证：否     ","阿珍","待审核","","","2026-04-01 18:25:22","2026-04-01 18:25:22"
"301989","    Aff：162028603 , 无情大树 Vip：普通 余额：0  |  收益：0  认证：否     ","李拜天","待审核","","","2026-04-01 18:25:01","2026-04-01 18:25:01"
"301988","    Aff：505478148 , 如意戒指 Vip：普通 余额：0  |  收益：0  认证：否     ","","待审核","","","2026-04-01 18:18:46","2026-04-01 18:18:46"
"301987","    Aff：505474495 , 唠叨乌冬面 Vip：普通 余额：0  |  收益：0  认证：否     ","搞就要激情","待审核","","","2026-04-01 18:07:15","2026-04-01 18:07:15"
"301986","    Aff：505471831 , 典雅发卡 Vip：普通 余额：0  |  收益：0  认证：否     ","尘沉辰白","待审核","","","2026-04-01 18:07:04","2026-04-01 18:07:04"
"301985","    Aff：505466712 , 无语踢小熊猫 Vip：普通 余额：0  |  收益：0  认证：否     ","","待审核","","","2026-04-01 18:04:40","2026-04-01 18:04:40"
"301984","    Aff：505470820 , 任性高跟鞋 Vip：普通 余额：0  |  收益：0  认证：否     ","","待审核","","","2026-04-01 17:56:21","2026-04-01 17:56:21"
"301983","    Aff：407374404 , 飘逸店员 Vip：普通 余额：0  |  收益：0  认证：否     ","甘肃临夏","待审核","","","2026-04-01 17:47:02","2026-04-01 17:47:02"
"301982","    Aff：372543934 , 痴情耳机 Vip：普通 余额：0  |  收益：0  认证：否     ","韩先生","待审核","","","2026-04-01 17:44:41","2026-04-01 17:44:41"
"301981","    Aff：48444418 , 贱逼谷旭珍 Vip：普通 余额：0  |  收益：0  认证：否     ","镇江谷旭珍是校妓","待审核","","","2026-04-01 17:43:36","2026-04-01 17:43:36"
"301980","    Aff：428777863 , 電視 Vip：普通 余额：92  |  收益：0  认证：否     ","","待审核","","","2026-04-01 17:42:57","2026-04-01 17:42:57"
"301979","    Aff：385193908 , 文静爱小蝴蝶 Vip：普通 余额：0  |  收益：0  认证：否     ","加好友","待审核","","","2026-04-01 17:25:06","2026-04-01 17:25:06"
"301978","    Aff：309700511 , 家妻刘亚珍 Vip：普通 余额：0  |  收益：0  认证：否     ","骚妻渴望被调教","待审核","","","2026-04-01 17:21:39","2026-04-01 17:21:39"
"301977","    Aff：499128641 , 友好萝莉 Vip：普通 余额：0  |  收益：0  认证：否     ","","待审核","","","2026-04-01 17:20:25","2026-04-01 17:20:25"
"301976","    Aff：503158902 , xk123456 Vip：普通 余额：0  |  收益：0  认证：否     ","xk123456","已通过","ljl123(id: 263)","","2026-04-01 16:54:23","2026-04-01 17:12:13"
"301975","    Aff：505447806 , 神临 Vip：普通 余额：0  |  收益：0  认证：否     ","神临","已通过","ljl123(id: 263)","","2026-04-01 16:47:07","2026-04-01 17:12:13"
"301974","    Aff：504313011 , ffg Vip：普通 余额：0  |  收益：0  认证：否     ","ffg","已通过","ljl123(id: 263)","","2026-04-01 16:46:14","2026-04-01 17:12:13"
"301973","    Aff：47057319 , 想舔逼逼 Vip：普通 余额：0  |  收益：0  认证：否     ","","未通过","ljl123(id: 263)","3、带有联系方式","2026-04-01 16:23:58","2026-04-01 16:31:01"
"301972","    Aff：505436102 , 贪财好色 Vip：普通 余额：0  |  收益：0  认证：否     ","贪财好色","已通过","ljl123(id: 263)","","2026-04-01 16:22:53","2026-04-01 16:30:54"
"301971","    Aff：343804597 , 烟台男镶珠16颗 Vip：普通 余额：0  |  收益：0  认证：否     ","烟台男镶珠16颗","已通过","ljl123(id: 263)","","2026-04-01 16:22:28","2026-04-01 16:30:54"
"301970","    Aff：88429142 , 花痴有老师 Vip：月卡 余额：0  |  收益：0  认证：否     ","","已通过","ljl123(id: 263)","","2026-04-01 16:21:22","2026-04-01 16:30:54"
"301969","    Aff：505428444 , 动听心情 Vip：普通 余额：0  |  收益：0  认证：否     ","","已通过","ljl123(id: 263)","","2026-04-01 16:19:59","2026-04-01 16:30:54"
"301968","    Aff：131490354 , 吕长根 Vip：普通 余额：0  |  收益：0  认证：否     ","吕长根","已通过","ljl123(id: 263)","","2026-04-01 16:17:50","2026-04-01 16:30:14"
"301967","    Aff：505435478 , 老迟到哈密瓜 Vip：普通 余额：0  |  收益：0  认证：否     ","","已通过","ljl123(id: 263)","","2026-04-01 16:12:38","2026-04-01 16:30:14"
"301966","    Aff：499159842 , 健忘给鸵鸟 Vip：普通 余额：0  |  收益：0  认证：否     ","","已通过","ljl123(id: 263)","","2026-04-01 16:10:27","2026-04-01 16:30:14"
"301965","    Aff：335741372 , 烛乄 Vip：普通 余额：0  |  收益：0  认证：否     ","烛乄","已通过","ljl123(id: 263)","","2026-04-01 16:08:18","2026-04-01 16:30:14"
"301964","    Aff：503224001 , 前所未有的大 Vip：普通 余额：0  |  收益：0  认证：否     ","前所未有的大","已通过","ljl123(id: 263)","","2026-04-01 16:05:28","2026-04-01 16:30:14"
"301963","    Aff：354118137 , 么么哒 Vip：普通 余额：0  |  收益：0  认证：否     ","么么哒","已通过","ljl123(id: 263)","","2026-04-01 16:00:15","2026-04-01 16:30:14"
"301962","    Aff：17327241 , 害怕老师 Vip：普通 余额：0  |  收益：0  认证：否     ","","未通过","ljl123(id: 263)","","2026-04-01 15:55:37","2026-04-01 16:30:26"
"301961","    Aff：505305123 , 无敌飞飞鱼 Vip：普通 余额：0  |  收益：0  认证：否     ","无敌飞飞鱼","已通过","ljl123(id: 263)","","2026-04-01 15:51:47","2026-04-01 16:30:14"
"301960","    Aff：67065564 , vst Vip：普通 余额：0  |  收益：0  认证：否     ","vst","已通过","ljl123(id: 263)","","2026-04-01 15:44:29","2026-04-01 16:30:14"
"301959","    Aff：95319687 , 钟爱小蝴蝶 Vip：普通 余额：0  |  收益：0  认证：否     ","钟爱小蝴蝶","已通过","ljl123(id: 263)","","2026-04-01 15:40:02","2026-04-01 16:30:14"
"301958","    Aff：505420561 , 沐欢 Vip：普通 余额：0  |  收益：0  认证：否     ","沐欢","已通过","ljl123(id: 263)","","2026-04-01 15:34:41","2026-04-01 16:30:13"
"301957","    Aff：505098241 , 185体育生处男 Vip：普通 余额：0  |  收益：0  认证：否     ","185体育生处男","已通过","ake123(id: 256)","","2026-04-01 15:23:14","2026-04-01 15:34:19"
"301956","    Aff：32864283 , 软痕痕 Vip：普通 余额：0  |  收益：0  认证：否     ","软痕痕","已通过","ake123(id: 256)","","2026-04-01 15:19:34","2026-04-01 15:34:19"
"301955","    Aff：503556309 , ovo Vip：普通 余额：0  |  收益：0  认证：否     ","ovo","已通过","ake123(id: 256)","","2026-04-01 15:18:08","2026-04-01 15:34:19"
"301954","    Aff：4873864 , 吉吉酱 Vip：普通 余额：0  |  收益：0  认证：否     ","","已通过","ake123(id: 256)","","2026-04-01 14:58:04","2026-04-01 15:34:19"
"301953","    Aff：504686495 , 无聊人 Vip：普通 余额：0  |  收益：0  认证：否     ","无聊人","已通过","ake123(id: 256)","","2026-04-01 14:52:50","2026-04-01 15:34:19"
"301952","    Aff：495001953 , 火星上踢便当 Vip：普通 余额：0  |  收益：0  认证：否     ","","已通过","ake123(id: 256)","","2026-04-01 14:49:38","2026-04-01 15:34:19"
"301951","    Aff：504635106 , 留胡子背包 Vip：普通 余额：0  |  收益：0  认证：否     ","","已通过","ake123(id: 256)","","2026-04-01 14:36:07","2026-04-01 15:34:19"
"301950","    Aff：384304041 , 大叔 Vip：普通 余额：0  |  收益：0  认证：否     ","大叔","已通过","ake123(id: 256)","","2026-04-01 14:30:39","2026-04-01 15:34:19"
"301949","    Aff：505394199 , 冬瓜123 Vip：月卡 余额：0  |  收益：0  认证：否     ","冬瓜123","已通过","ake123(id: 256)","","2026-04-01 14:29:05","2026-04-01 15:34:19"
"301948","    Aff：341528707 , 不讲脏话 Vip：普通 余额：0  |  收益：0  认证：否     ","不讲脏话","已通过","ake123(id: 256)","","2026-04-01 14:24:47","2026-04-01 15:34:19"
"301947","    Aff：342421101 , 坏蛋 Vip：普通 余额：0  |  收益：0  认证：否     ","坏蛋","已通过","ake123(id: 256)","","2026-04-01 14:24:01","2026-04-01 15:34:19"
"301946","    Aff：457122979 , 难过闻白云 Vip：普通 余额：0  |  收益：0  认证：否     ","","已通过","ake123(id: 256)","","2026-04-01 14:23:48","2026-04-01 15:34:19"
"301945","    Aff：481481624 , 积极与魔镜 Vip：普通 余额：0  |  收益：0  认证：否     ","","已通过","ake123(id: 256)","","2026-04-01 14:22:35","2026-04-01 15:34:19"
"301944","    Aff：356952815 , 宋温暖 Vip：普通 余额：0  |  收益：0  认证：否     ","宋温暖","已通过","ake123(id: 256)","","2026-04-01 14:19:26","2026-04-01 15:34:19"
"301943","    Aff：296165086 , 少妇杀手 Vip：普通 余额：0  |  收益：0  认证：否     ","少妇杀手","已通过","ake123(id: 256)","","2026-04-01 14:06:16","2026-04-01 15:34:19"
"301942","    Aff：504208053 , 河南鲁山 Vip：普通 余额：0  |  收益：0  认证：否     ","河南鲁山","已通过","ake123(id: 256)","","2026-04-01 14:02:53","2026-04-01 15:34:19"
"301941","    Aff：505382706 , 三脚猫 Vip：普通 余额：0  |  收益：0  认证：否     ","三脚猫","已通过","ake123(id: 256)","","2026-04-01 14:02:45","2026-04-01 15:34:19"
"301940","    Aff：451276262 , 寂寞了联系我 Vip：普通 余额：0  |  收益：0  认证：否     ","寂寞了联系我","已通过","ake123(id: 256)","","2026-04-01 13:55:14","2026-04-01 15:34:19"
"301939","    Aff：479798274 , Dotaer Vip：普通 余额：0  |  收益：0  认证：否     ","Dotaer","已通过","ake123(id: 256)","","2026-04-01 13:51:01","2026-04-01 15:34:19"
"301938","    Aff：505375628 , 辛勤用学姐 Vip：普通 余额：0  |  收益：0  认证：否     ","","已通过","ake123(id: 256)","","2026-04-01 13:49:30","2026-04-01 15:34:19"
"301937","    Aff：258903399 , 随遇而安 Vip：普通 余额：0  |  收益：0  认证：否     ","随遇而安","已通过","ake123(id: 256)","","2026-04-01 13:44:13","2026-04-01 15:34:18"
"301936","    Aff：505369559 , 冷静保卫小松鼠 Vip：普通 余额：0  |  收益：0  认证：否     ","","已通过","ake123(id: 256)","","2026-04-01 13:33:28","2026-04-01 15:34:18"
"301935","    Aff：102084513 , 鬼魅 Vip：普通 余额：0  |  收益：0  认证：否     ","鬼魅","已通过","ake123(id: 256)","","2026-04-01 13:31:31","2026-04-01 15:34:18"
"301934","    Aff：467394672 , 猛虎巨根 Vip：普通 余额：0  |  收益：0  认证：否     ","猛虎巨根","已通过","ake123(id: 256)","","2026-04-01 13:30:03","2026-04-01 15:34:18"
"301933","    Aff：30371439 , 欢喜冰棍 Vip：普通 余额：0  |  收益：0  认证：否     ","26081463","未通过","ake123(id: 256)","","2026-04-01 13:26:35","2026-04-01 15:34:28"
"301932","    Aff：80884774 , 枫叶 Vip：普通 余额：0  |  收益：0  认证：否     ","枫叶","已通过","ake123(id: 256)","","2026-04-01 13:24:12","2026-04-01 15:34:18"
"301931","    Aff：479433507 , 花椒拌饭 Vip：普通 余额：0  |  收益：0  认证：否     ","花椒拌饭","已通过","ake123(id: 256)","","2026-04-01 13:23:04","2026-04-01 15:34:18"
"301930","    Aff：505314831 , 无限可能 Vip：普通 余额：10  |  收益：0  认证：否     ","无限可能","已通过","ake123(id: 256)","","2026-04-01 13:22:16","2026-04-01 15:34:18"
"301929","    Aff：505358013 , Vic Vip：普通 余额：0  |  收益：0  认证：否     ","Vic","已通过","ake123(id: 256)","","2026-04-01 13:14:26","2026-04-01 15:34:18"
"301928","    Aff：472238609 , 爸爸 Vip：季卡 余额：0  |  收益：0  认证：否     ","爸爸","已通过","ake123(id: 256)","","2026-04-01 13:11:26","2026-04-01 15:34:18"
"301927","    Aff：53244328 , 顺心小鸽子 Vip：普通 余额：0  |  收益：0  认证：否     ","","已通过","ake123(id: 256)","","2026-04-01 13:09:51","2026-04-01 15:34:18"
"301926","    Aff：505249120 , 俊秀薯片 Vip：普通 余额：0  |  收益：0  认证：否     ","女生来企鹅393","未通过","ake123(id: 256)","","2026-04-01 13:06:14","2026-04-01 15:34:28"
"301925","    Aff：36894697 , 正直方菠萝 Vip：普通 余额：0  |  收益：0  认证：否     ","","已通过","ake123(id: 256)","","2026-04-01 13:05:49","2026-04-01 15:34:18"
"301924","    Aff：68734960 , 慈祥爱西装 Vip：年卡 余额：0  |  收益：0  认证：否     ","84868102","未通过","ake123(id: 256)","","2026-04-01 13:03:26","2026-04-01 15:34:28"
"301923","    Aff：319252282 , 我牛凯东实名观看 Vip：普通 余额：0  |  收益：0  认证：否     ","我牛凯东实名观看","已通过","ake123(id: 256)","","2026-04-01 13:02:15","2026-04-01 15:34:18"
"301922","    Aff：242782083 , 路人戊 Vip：普通 余额：0  |  收益：0  认证：否     ","路人戊","已通过","ake123(id: 256)","","2026-04-01 12:59:01","2026-04-01 15:34:18"
"301921","    Aff：53722006 , 君不见 Vip：普通 余额：0  |  收益：0  认证：否     ","君不见","已通过","ake123(id: 256)","","2026-04-01 12:50:14","2026-04-01 15:34:18"
"301920","    Aff：322950357 , 叶子涵 Vip：普通 余额：0  |  收益：0  认证：否     ","叶子涵","已通过","ake123(id: 256)","","2026-04-01 12:48:53","2026-04-01 15:34:18"
