id,用户,内容,属性,状态,IP,时间,排序,类型,审核管理员,话题
"325075","    Aff：505522291 , 欢呼闻荷花 Vip：undefined 余额：0  |  收益：0  认证：否     "," 清纯女大学生M腿白虎自慰！骚气表情一看就想射，粉嫩无毛骚逼手指狂插高潮喷水 #福利自拍  外表看起来清纯甜美的女大学生，私底下却是极品白虎小骚货属性！她全裸坐在酒店大床上，双腿大大M字张开，.... "," 图片：2  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：49.228.246.218  城市：火星 "," 创：2026-04-01 20:33:29 改：2026-04-01 20:33:29 ","0","视频","(id: 0)","福利自拍"
"325074","    Aff：434154636 , 狂野香烟 Vip：undefined 余额：0  |  收益：0  认证：否     "," 不管你在你老公面前多女神，在我这里就是个母狗 #SM调教  不管你在你老公面前多女神，在我这里就是个母狗 "," 图片：5  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：183.9.68.101  城市：广东 "," 创：2026-04-01 20:32:53 改：2026-04-01 20:32:53 ","0","图片","(id: 0)","SM调教"
"325073","    Aff：488115349 , 我的风骚人妻 Vip：undefined 余额：0  |  收益：1  认证：  原创主       "," 隔壁熟女半夜来找我借钱，利息让她穿上豹纹＋黑丝伺候我，成功把她发展成我的炮友 #达人原创  凌晨两点，门铃急促响起。开门是隔壁的林姐，38岁，平时端庄得像老师，此刻却穿着睡裙，眼眶红红地说老公.... "," 图片：5  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：171.4.240.57  城市：火星 "," 创：2026-04-01 20:30:38 改：2026-04-01 20:30:38 ","0","视频","(id: 0)","达人原创"
"325072","    Aff：323673117 , 自觉演变眼睛 Vip：undefined 余额：0  |  收益：0  认证：否     "," 为了签到无所不用 #福利自拍  为了签到无所不用 "," 图片：1  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：14.135.200.236  城市：宁夏 "," 创：2026-04-01 20:27:40 改：2026-04-01 20:27:40 ","0","图片","(id: 0)","福利自拍"
"325071","    Aff：505516624 , 瘦瘦云朵 Vip：undefined 余额：0  |  收益：0  认证：否     "," 这个大学生身材跟奶子，谁羡慕了 #原创视频  极品身材女大学生躺在床上，双腿大大分开成M形，雪白丰满的G杯巨乳自然挺立在胸前，乳头粉嫩硬挺，青春曲.... "," 图片：3  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：49.228.246.218  城市：火星 "," 创：2026-04-01 20:27:25 改：2026-04-01 20:27:25 ","0","视频","(id: 0)","原创视频"
"325070","    Aff：434154636 , 狂野香烟 Vip：undefined 余额：0  |  收益：0  认证：否     "," QQ上认识的一个人妻母狗\\ud83d\\udc36，没想到这么反差。背着家人给网友发自己的裸照，还挺网友指挥。 #达人原创  QQ上认识的一个人妻母狗🐶，没想到这么反差。背着家人给网友发自己的裸照，还挺网友指挥。 "," 图片：6  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：183.9.68.101  城市：广东 "," 创：2026-04-01 20:26:09 改：2026-04-01 20:26:09 ","0","图片","(id: 0)","达人原创"
"325069","    Aff：52149435 , 喵小丝 Vip：undefined 余额：0  |  收益：966  认证：  原创主       "," 连衣短裙 厚黑丝袜 极品大长腿 反差婊子 内射小穴 私处特写 #达人原创  哈喽哈喽哥哥们，这期视频是我最喜欢穿的厚黑裤袜，给哥哥们穿肯定要穿开档的，让哥哥们好好看欣赏裙下风光.... "," 图片：7  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：171.4.240.57  城市：火星 "," 创：2026-04-01 20:25:59 改：2026-04-01 20:25:59 ","0","视频","(id: 0)","达人原创"
"325068","    Aff：122814273 , 勤奋毛巾 Vip：undefined 余额：10  |  收益：0  认证：否     "," 想请教各位大哥，怎么约炮啊？ #达人原创  请教一下各位大哥，怎么约炮啊，有说用链接的，还有说本地就有的，我也没有什么门路，可以教教我吗谢谢。 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：111.55.120.18  城市：山西 "," 创：2026-04-01 20:25:17 改：2026-04-01 20:25:17 ","0","文字","(id: 0)","达人原创"
"325067","    Aff：377835236 , 坚强香氛 Vip：undefined 余额：0  |  收益：214  认证：  原创主       "," 出租房干同事真浪啊 #达人原创  一起上班的同事，总是在我旁边晃悠，白天看着她的那浑圆的大屁股一翘一翘的，内心无比澎湃，没想到约了一下.... "," 图片：5  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：171.4.240.57  城市：火星 "," 创：2026-04-01 20:22:21 改：2026-04-01 20:22:21 ","0","视频","(id: 0)","达人原创"
"325066","    Aff：502336153 , 难过大船 Vip：undefined 余额：0  |  收益：0  认证：否     "," 常州有女生月的吗，可以见面 #达人原创  常州有p友嘛，有女生想要吗，可线下月 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：114.226.211.166  城市：江苏 "," 创：2026-04-01 20:21:59 改：2026-04-01 20:21:59 ","0","文字","(id: 0)","达人原创"
"325065","    Aff：505516624 , 瘦瘦云朵 Vip：undefined 余额：0  |  收益：0  认证：否     "," 专约极品良家少妇 #福利自拍  成熟良家少妇，身材丰满紧致，皮肤白嫩得能掐出水。她慢慢脱掉外衣，露出黑色蕾丝内衣包裹下的圆润大奶子和.... "," 图片：1  |  视频：2  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：49.228.246.218  城市：火星 "," 创：2026-04-01 20:21:51 改：2026-04-01 20:21:51 ","0","视频","(id: 0)","福利自拍"
"325064","    Aff：450019747 , 飘逸和汽车 Vip：undefined 余额：0  |  收益：0  认证：否     "," 谁知道石家庄一个女老师 #日常吐槽  石家庄一个女老师自曝跟大学老师上过床，当家教的同时给学生家长当鸡，找了个对象，对象跟她招待过的某个人.... "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：39.144.86.156  城市：河北 "," 创：2026-04-01 20:19:20 改：2026-04-01 20:19:20 ","0","文字","(id: 0)","日常吐槽"
"325063","    Aff：505515801 , 淡淡冬天 Vip：undefined 余额：0  |  收益：0  认证：否     "," 有没有人喜欢我前女友的小嫩穴 #日常吐槽  有没有人喜欢我前女友的小嫩穴 "," 图片：1  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：120.245.88.201  城市：中国–北京–北京 "," 创：2026-04-01 20:16:54 改：2026-04-01 20:16:54 ","0","图片","(id: 0)","日常吐槽"
"325062","    Aff：505516624 , 瘦瘦云朵 Vip：undefined 余额：0  |  收益：0  认证：否     "," 巨乳高质量高端鸡 #福利自拍  极品巨乳高端鸡跪坐在你面前，一对沉甸甸的雪白豪乳足有G杯，乳晕粉嫩，乳头又硬又翘。她故意挺起胸，把这.... "," 图片：2  |  视频：2  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：49.228.246.218  城市：火星 "," 创：2026-04-01 20:16:23 改：2026-04-01 20:16:23 ","0","视频","(id: 0)","福利自拍"
"325061","    Aff：24677005 , 等待与白云 Vip：undefined 余额：0  |  收益：0  认证：否     "," 不要勾引我啊哈哈 我是女同 #福利自拍  不要勾引我啊哈哈 我是女同 "," 图片：3  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：106.124.74.49  城市：新疆 "," 创：2026-04-01 20:15:35 改：2026-04-01 20:15:35 ","0","图片","(id: 0)","福利自拍"
"325060","    Aff：493007709 , AT高质量混剪合 Vip：undefined 余额：1  |  收益：1985  认证：  UP主       "," AT吃瓜 推特顶级TS男娘 挺着仙女棒被金主爆菊性感高颜值 肛交啊嘿颜超诱人金主疯狂抽插淫靡非凡！ #达人原创  AT吃瓜 推特顶级TS男娘 挺着仙女棒被金主爆菊性感高颜值 肛交啊嘿颜超诱人金主疯狂抽插淫靡非凡！ "," 图片：4  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：是 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：223.198.51.158  城市：海南 "," 创：2026-04-01 20:14:25 改：2026-04-01 20:14:25 ","0","视频","(id: 0)","达人原创"
"325059","    Aff：255462453 , 微胖肥臀姐姐 Vip：undefined 余额：0  |  收益：850  认证：  原创主       "," 教育表姐 骚逼粉嫩 后入啪啪 饥渴难耐 猛操表姐骚逼 #达人原创  今天晚上表姐特意跟我说，晚上让我去找她，我就抽时间去然后到了之后，表姐已经在被窝里面了，衣服已经脱光.... "," 图片：2  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：119.39.19.48  城市：湖南 "," 创：2026-04-01 20:14:16 改：2026-04-01 20:14:16 ","0","视频","(id: 0)","达人原创"
"325058","    Aff：69377495 , 复杂与冬日 Vip：undefined 余额：0  |  收益：0  认证：否     "," 好痒，想要，有姐姐帮帮忙吗 #日常吐槽  找个姐姐互看一下 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：122.192.14.159  城市：江苏 "," 创：2026-04-01 20:12:55 改：2026-04-01 20:12:55 ","0","文字","(id: 0)","日常吐槽"
"325057","    Aff：488742953 , 粗犷小蜜蜂 Vip：undefined 余额：0  |  收益：0  认证：否     "," 唐山19男大 求姐姐破处 #瓜友原创  唐山19男大 求姐姐破处 "," 图片：3  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：60.2.111.38  城市：河北 "," 创：2026-04-01 20:12:12 改：2026-04-01 20:12:12 ","0","图片","(id: 0)","瓜友原创"
"325056","    Aff：505419084 , 专一有御姐 Vip：undefined 余额：0  |  收益：0  认证：否     "," 洋屌配洋马 真会口 #福利自拍  金发碧眼的洋马跪在高大洋屌面前，蓝眼睛满是淫荡地抬头看着你。她张开粉嫩的樱桃小嘴，伸出又长又软的舌头.... "," 图片：2  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：49.228.246.218  城市：火星 "," 创：2026-04-01 20:11:28 改：2026-04-01 20:11:29 ","0","视频","(id: 0)","福利自拍"
"325055","    Aff：487530676 , 骑射姐姐 Vip：undefined 余额：0  |  收益：0  认证：否     "," 姐姐刚和姐夫做完爱  就赶紧跑来找我操逼 姐夫射进去的精子都被我操出来了 #达人原创  今天我再家里面睡觉莫名其妙感觉有人弄我我抬头一看发现姐姐在舔我的鸡巴我问姐姐这么过来了他说哥哥她和姐.... "," 图片：2  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：119.39.19.48  城市：湖南 "," 创：2026-04-01 20:11:06 改：2026-04-01 20:11:06 ","0","视频","(id: 0)","达人原创"
"325054","    Aff：493007709 , AT高质量混剪合 Vip：undefined 余额：1  |  收益：1985  认证：  UP主       "," AT吃瓜 魅魔网黄张张 馒头粉穴怼镜自慰发骚 美乳粉穴反差感爆表 插穴高潮失禁肉体完全暴露！ #达人原创  AT吃瓜 魅魔网黄张张 馒头粉穴怼镜自慰发骚 美乳粉穴反差感爆表 插穴高潮失禁肉体完全暴露！ "," 图片：3  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：223.198.51.158  城市：海南 "," 创：2026-04-01 20:10:13 改：2026-04-01 20:10:13 ","0","视频","(id: 0)","达人原创"
"325053","    Aff：498177854 , 风骚辣妈 Vip：undefined 余额：0  |  收益：0  认证：否     "," 偷看老妈洗澡，看到她遗落在卫生间的内裤，忍不住打了个飞机 #达人原创  夜已经很深了，窗外细雨敲打着玻璃，发出轻柔的沙沙声。坐在妈妈床边，灯光调得很暗，只留下一盏小台灯。他.... "," 图片：2  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：119.39.19.48  城市：湖南 "," 创：2026-04-01 20:06:35 改：2026-04-01 20:06:35 ","0","视频","(id: 0)","达人原创"
"325052","    Aff：493007709 , AT高质量混剪合 Vip：undefined 余额：1  |  收益：1985  认证：  UP主       "," AT吃瓜 推特媚黑骚妈 瞒着老公孩子 旅游被黑人开发 惨遭黑人按倒狂干 暴力中出幻想怀上黑色血脉！ #达人原创  AT吃瓜 推特媚黑骚妈 瞒着老公孩子 旅游被黑人开发 惨遭黑人按倒狂干 暴力中出幻想怀上黑色血脉！ "," 图片：3  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：是 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：223.198.51.158  城市：海南 "," 创：2026-04-01 20:05:43 改：2026-04-01 20:05:43 ","0","视频","(id: 0)","达人原创"
"325051","    Aff：505419084 , 专一有御姐 Vip：undefined 余额：0  |  收益：0  认证：否     "," 骚逼少妇 后入展示视角 #原创视频  骚逼少妇跪趴在床上，翘起雪白丰满的肥美大屁股，对着镜头完全张开双腿，粉嫩湿滑的骚逼一览无余。她故意把.... "," 图片：1  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：49.228.246.218  城市：火星 "," 创：2026-04-01 20:05:02 改：2026-04-01 20:05:02 ","0","视频","(id: 0)","原创视频"
"325050","    Aff：101130058 , 等待大碗 Vip：undefined 余额：230  |  收益：22343  认证：  原创主       "," 露脸，太性感了，大二美术生，寒假多次无套内射 #达人原创  露脸，太性感了，大二美术生，寒假多次无套内射 "," 图片：3  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：是 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：111.58.243.161  城市：广西 "," 创：2026-04-01 20:04:23 改：2026-04-01 20:04:23 ","0","视频","(id: 0)","达人原创"
"325049","    Aff：101130478 , 精品阁 Vip：undefined 余额：210  |  收益：23802  认证：  原创主       "," 极限开发双洞骚逼炮友想体验被双插的感觉 #达人原创  极限开发双洞骚逼炮友想体验被双插的感觉 "," 图片：3  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：111.58.243.161  城市：广西 "," 创：2026-04-01 20:02:03 改：2026-04-01 20:02:03 ","0","视频","(id: 0)","达人原创"
"325048","    Aff：493007709 , AT高质量混剪合 Vip：undefined 余额：1  |  收益：1985  认证：  UP主       "," AT吃瓜 推特骚妈安娜 抛夫弃子金主包养无套后入内射化身精盆肉便器做爱叫床给老公听 三观尽毁！ #达人原创  AT吃瓜 推特骚妈安娜 抛夫弃子金主包养无套后入内射化身精盆肉便器做爱叫床给老公听 三观尽毁！ "," 图片：3  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：是 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：223.198.51.158  城市：海南 "," 创：2026-04-01 20:00:43 改：2026-04-01 20:00:43 ","0","视频","(id: 0)","达人原创"
"325047","    Aff：101131551 , 瓜瓜5 Vip：undefined 余额：10  |  收益：17808  认证：  原创主       "," 绿帽邀请朋友一起3p极品老婆并内射颜射刷逼 #达人原创  绿帽邀请朋友一起3p极品老婆并内射颜射刷逼 "," 图片：3  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：是 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：111.58.243.161  城市：广西 "," 创：2026-04-01 19:59:50 改：2026-04-01 19:59:50 ","0","视频","(id: 0)","达人原创"
"325046","    Aff：444209980 , 暗水之下 Vip：undefined 余额：0  |  收益：113  认证：  原创主       "," 侄女穿着战国服饰参加清明演出，演出后直接操了侄女的“战国B” #达人原创  侄女单位今天组织活动，本来没有侄女的参演任务，但是原演员突然生病无法演出，侄女临危受命，上台演出。我.... "," 图片：3  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：119.39.19.48  城市：湖南 "," 创：2026-04-01 19:57:49 改：2026-04-01 19:57:49 ","0","视频","(id: 0)","达人原创"
"325045","    Aff：78408935 , 平常尊云 Vip：undefined 余额：72  |  收益：0  认证：否     "," 新人贴，求回复完成任务 #达人原创  如题 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：106.116.71.105  城市：河北 "," 创：2026-04-01 19:56:47 改：2026-04-01 19:56:47 ","0","文字","(id: 0)","达人原创"
"325044","    Aff：101130058 , 等待大碗 Vip：undefined 余额：230  |  收益：22343  认证：  原创主       "," 师范学院反差眼镜婊鸡巴一插就说骚话，这以后怎么当老师啊 #达人原创  师范学院反差眼镜婊鸡巴一插就说骚话，这以后怎么当老师啊 "," 图片：3  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：111.58.243.161  城市：广西 "," 创：2026-04-01 19:56:24 改：2026-04-01 19:56:24 ","0","视频","(id: 0)","达人原创"
